molecule_chembl_id,canonical_smiles,pIC50,MW,LogP,TPSA
CHEMBL4083966,CCNC(=O)Nc1cc2c(-c3ccnc(C)c3)ccc(CNC(=O)CCOC)c2cn1,5.096910013008056,421.50100000000026,3.399320000000002,105.24000000000001
CHEMBL4061762,C#CCOC(=O)NCc1ccc(-c2ccnc(C)c2)c2cc(NC(=O)NCC)ncc12,5.096910013008056,417.46900000000016,3.606020000000002,105.24
CHEMBL4096181,CCNC(=O)Nc1cc2c(-c3ccnc(C)c3)ccc(Cn3ccnn3)c2cn1,5.096910013008056,387.4470000000001,3.386420000000003,97.62
CHEMBL4092234,CCNC(=O)Nc1cc2c(-c3ccncc3)ccc(CNC(=O)OCCNCC(C)(C)C)c2cn1,5.096910013008056,478.5970000000003,4.300100000000003,117.27000000000001
CHEMBL4091332,CCNC(=O)Nc1cc2c(-c3ccnc(C)c3)ccc(CNC(=O)OC3CCNCC3(F)F)c2cn1,5.096910013008056,498.5340000000003,3.9700200000000025,117.27000000000001
CHEMBL4070393,CCNC(=O)Nc1cc2c(-c3ccnc(C)c3)ccc(CNC(=O)OCCOC)c2cn1,5.096910013008056,437.5000000000003,3.619220000000002,114.47000000000001
CHEMBL4100423,CCNC(=O)Nc1cc2c(-c3ccnc(C)c3)ccc(CNC(C)=O)c2cn1,5.096910013008056,377.44800000000015,3.3827200000000017,96.01
CHEMBL4074808,CCNC(=O)Nc1cc2c(-c3ccncc3)ccc(Nc3cccnc3)c2cn1,5.096910013008056,384.44300000000004,4.576800000000003,91.83
CHEMBL4128159,COc1c(F)c(OC)c2c(c1C(C)=O)OC(C)(C)C(OC)C2F,5.022276394711152,330.327,3.2421000000000024,53.99000000000001
CHEMBL363449,CC1CCc2c(N3CCC(O)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,5.0,360.3850000000001,2.3071,82.77000000000001
CHEMBL4130077,COc1cc(OC)c2c(c1C(C)=O)OC(C)(C)[C@H](O)[C@@H]2O,5.0,296.31899999999996,1.4716999999999998,85.22000000000001
